Location,LocID,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
Ghana,288,2,Medium,2019,2019.5,15416.086000000001,15001.771999999999,30417.857999999997,133.681
Gibraltar,292,2,Medium,2019,2019.5,,,33.705999999999996,3370.6
Greater Arab Free Trade Area (GAFTA),1536,2,Medium,2019,2019.5,210987.50100000002,195385.836,406373.33700000006,35.875
Greece,300,2,Medium,2019,2019.5,5140.52,5332.932,10473.452,81.253
Greenland,304,2,Medium,2019,2019.5,,,56.66,0.138
Grenada,308,2,Medium,2019,2019.5,56.426,55.576,112.00200000000001,329.418
Group of 77 (G77),1556,2,Medium,2019,2019.5,3081556.65,2978538.312,6060094.962,81.595
Group of Eight (G8),1523,2,Medium,2019,2019.5,446529.166,469406.37799999997,915935.5440000001,25.153000000000002
Group of Seven (G7),1522,2,Medium,2019,2019.5,378926.226,391137.05799999996,770063.2840000001,38.431
Group of Twenty (G20) - member states,1524,2,Medium,2019,2019.5,2344548.037,2278305.169,4622853.206,61.199
Guadeloupe,312,2,Medium,2019,2019.5,184.68599999999998,215.362,400.048,245.73
Guam,316,2,Medium,2019,2019.5,84.43700000000001,82.85799999999999,167.295,309.806
Guatemala,320,2,Medium,2019,2019.5,8659.95,8921.526,17581.476000000002,164.06799999999998
Guinea,324,2,Medium,2019,2019.5,6166.075,6605.170999999999,12771.246000000001,51.975
Guinea-Bissau,624,2,Medium,2019,2019.5,938.863,982.054,1920.9170000000001,68.311
Gulf Cooperation Council (GCC),1561,2,Medium,2019,2019.5,35586.159,22108.2,57694.359000000004,22.423000000000002
Guyana,328,2,Medium,2019,2019.5,393.27099999999996,389.504,782.775,3.977
Haiti,332,2,Medium,2019,2019.5,5557.596,5705.483,11263.079,408.675
High-income countries,1503,2,Medium,2019,2019.5,626227.58,631815.904,1258043.4840000002,33.205999999999996
Holy See,336,2,Medium,2019,2019.5,,,0.815,1852.273
Honduras,340,2,Medium,2019,2019.5,4868.994000000001,4877.121,9746.115,87.104
Hungary,348,2,Medium,2019,2019.5,4608.25,5076.43,9684.68,106.978
Iceland,352,2,Medium,2019,2019.5,170.23,168.80700000000002,339.037,3.3819999999999997
India,356,2,Medium,2019,2019.5,710129.572,656288.184,1366417.756,459.58
Indonesia,360,2,Medium,2019,2019.5,136269.761,134355.80599999998,270625.567,149.387
Iran,364,2,Medium,2019,2019.5,41889.89,41024.003,82913.893,50.913000000000004
Iraq,368,2,Medium,2019,2019.5,19891.814,19417.975,39309.789,90.509
Ireland,372,2,Medium,2019,2019.5,2422.4179999999997,2460.08,4882.498,70.874
Isle of Man,833,2,Medium,2019,2019.5,,,84.589,148.40200000000002
Israel,376,2,Medium,2019,2019.5,4237.327,4282.045999999999,8519.373,393.686
Italy,380,2,Medium,2019,2019.5,29461.035,31089.057,60550.092000000004,205.855
Jamaica,388,2,Medium,2019,2019.5,1463.72,1484.557,2948.277,272.232
Japan,392,2,Medium,2019,2019.5,61950.31,64909.989,126860.299,347.98699999999997
Jordan,400,2,Medium,2019,2019.5,5113.215,4988.482,10101.697,113.78299999999999
Kazakhstan,398,2,Medium,2019,2019.5,8999.754,9551.674,18551.428,6.872000000000001
Kenya,404,2,Medium,2019,2019.5,26122.382,26451.585,52573.967000000004,92.374
Kiribati,296,2,Medium,2019,2019.5,57.821999999999996,59.786,117.60799999999999,145.195
Kuwait,414,2,Medium,2019,2019.5,2563.055,1644.0220000000002,4207.077,236.08700000000002
Kyrgyzstan,417,2,Medium,2019,2019.5,3173.902,3241.949,6415.851,33.451
LLDC: Africa,2087,2,Medium,2019,2019.5,165093.74,167168.74800000002,332262.488,39.827
LLDC: Asia,2088,2,Medium,2019,2019.5,80825.188,83200.558,164025.74599999998,24.641
LLDC: Europe,2089,2,Medium,2019,2019.5,2980.153,3146.563,6126.715999999999,105.506
LLDC: Latin America,2090,2,Medium,2019,2019.5,9360.499,9197.242,18557.741,12.534
Land-locked Countries,1607,2,Medium,2019,2019.5,288538.94899999996,294801.328,583340.277,33.976
Land-locked Countries (Others),1674,2,Medium,2019,2019.5,30279.369,32088.217,62367.585999999996,98.771
Land-locked Developing Countries (LLDC),1636,2,Medium,2019,2019.5,258259.58,262713.11100000003,520972.691,31.502
Laos,418,2,Medium,2019,2019.5,3599.028,3570.428,7169.456,31.064
Latin America and the Caribbean,904,2,Medium,2019,2019.5,318803.128,329317.828,648120.956,32.181999999999995
Latin America and the Caribbean,1830,2,Medium,2019,2019.5,318803.128,329317.828,648120.956,32.181999999999995
Latin American Integration Association (ALADI),1532,2,Medium,2019,2019.5,279703.641,288992.904,568696.545,29.715
Latin American and Caribbean Group (GRULAC),1826,2,Medium,2019,2019.5,316600.441,326873.734,643474.175,32.125
Latvia,428,2,Medium,2019,2019.5,877.948,1028.792,1906.74,30.655
"League of Arab States (LAS, informal name: Arab League)",1559,2,Medium,2019,2019.5,221900.697,206265.69199999998,428166.38899999997,32.909
Least developed countries,941,2,Medium,2019,2019.5,513951.412,519437.456,1033388.868,51.315
Least developed: Africa,1475,2,Medium,2019,2019.5,339345.341,343065.281,682410.622,38.991
Least developed: Asia,1476,2,Medium,2019,2019.5,168492.35199999998,170123.849,338616.201,131.863
Least developed: Latin America and the Caribbean,1477,2,Medium,2019,2019.5,5557.596,5705.483,11263.079,408.675
Least developed: Oceania,1478,2,Medium,2019,2019.5,556.123,542.8430000000001,1098.9660000000001,26.791
Lebanon,422,2,Medium,2019,2019.5,3449.2459999999996,3406.4629999999997,6855.709,670.1569999999999
Lesotho,426,2,Medium,2019,2019.5,1047.944,1077.323,2125.2670000000003,70.002
Less developed regions,902,2,Medium,2019,2019.5,3270017.937,3172819.9480000003,6442837.885,79.544
"Less developed regions, excluding China",948,2,Medium,2019,2019.5,2518843.3619999997,2458360.347,4977203.709,69.541
"Less developed regions, excluding least developed countries",934,2,Medium,2019,2019.5,2756066.525,2653382.492,5409449.017000001,88.885
Less developed: Africa,1479,2,Medium,2019,2019.5,653513.68,654550.496,1308064.176,44.119
Less developed: Asia,1480,2,Medium,2019,2019.5,2291515.935,2182995.0319999997,4474510.967,145.899
Less developed: Latin America and the Caribbean,1481,2,Medium,2019,2019.5,318803.128,329317.828,648120.956,32.181999999999995
Less developed: Oceania,1482,2,Medium,2019,2019.5,6185.194,5956.592,12141.786,22.449
Liberia,430,2,Medium,2019,2019.5,2481.116,2456.258,4937.374,51.26
Libya,434,2,Medium,2019,2019.5,3422.619,3354.8340000000003,6777.453,3.852
Liechtenstein,438,2,Medium,2019,2019.5,,,38.02,237.625
Lithuania,440,2,Medium,2019,2019.5,1276.4769999999999,1483.154,2759.631,44.032
Low-income countries,1500,2,Medium,2019,2019.5,375045.225,380804.516,755849.7409999999,50.919
Lower-middle-income countries,1501,2,Medium,2019,2019.5,1559059.9130000002,1498648.971,3057708.8839999996,142.498
Luxembourg,442,2,Medium,2019,2019.5,311.11,304.62,615.73,237.734
Madagascar,450,2,Medium,2019,2019.5,13452.928999999998,13516.377,26969.306,46.355
Malawi,454,2,Medium,2019,2019.5,9185.278,9443.471,18628.749,197.59
Malaysia,458,2,Medium,2019,2019.5,16423.164,15526.625,31949.789,97.245
Maldives,462,2,Medium,2019,2019.5,336.07,194.887,530.957,1769.8570000000002
Mali,466,2,Medium,2019,2019.5,9844.537,9813.485999999999,19658.023,16.111
Malta,470,2,Medium,2019,2019.5,220.783,219.59400000000002,440.37699999999995,1376.1779999999999
Marshall Islands,584,2,Medium,2019,2019.5,,,58.791000000000004,326.617
Martinique,474,2,Medium,2019,2019.5,172.972,202.585,375.55699999999996,354.29900000000004
Mauritania,478,2,Medium,2019,2019.5,2271.843,2253.855,4525.698,4.391
Mauritius,480,2,Medium,2019,2019.5,626.971,642.6990000000001,1269.67,625.453
Mayotte,175,2,Medium,2019,2019.5,130.865,135.28799999999998,266.153,709.7410000000001
Melanesia,928,2,Medium,2019,2019.5,5565.816,5352.718000000001,10918.534,20.616999999999997
Mexico,484,2,Medium,2019,2019.5,62403.393,65172.136,127575.52900000001,65.627
Micronesia,954,2,Medium,2019,2019.5,274.61400000000003,268.869,543.4830000000001,171.446
Micronesia (Fed. States of),583,2,Medium,2019,2019.5,57.867,55.943999999999996,113.811,162.58700000000002
Middle Africa,911,2,Medium,2019,2019.5,86971.289,87337.138,174308.427,26.83
Middle-income countries,1517,2,Medium,2019,2019.5,2886342.6560000004,2810324.6580000003,5696667.313999999,73.986
Monaco,492,2,Medium,2019,2019.5,,,38.967,26152.349
Mongolia,496,2,Medium,2019,2019.5,1589.932,1635.234,3225.1659999999997,2.076
Montenegro,499,2,Medium,2019,2019.5,310.506,317.482,627.988,46.691
Montserrat,500,2,Medium,2019,2019.5,,,4.9910000000000005,49.91
More developed regions,901,2,Medium,2019,2019.5,619016.674,651613.6460000001,1270630.32,25.88
More developed: Asia,1483,2,Medium,2019,2019.5,61950.31,64909.989,126860.299,347.98699999999997
More developed: Europe,1484,2,Medium,2019,2019.5,360711.588,386471.227,747182.815,33.756
